Buyer,Average of 3 month-procurement cost,Sales revenue,No of payment/month,Recovery timeline (Working days),Factoring status,Factoring FI,Factoring amount recovery timeline,Remaining factoring amount recovery timeline,payment per installment,Factoring amount,Rest of the amount,Factoring availability,Factoring amount ,Rest of factoring amount,Factoring charge per year (Bank rate),interest on crowd funding per year (based on Jan'26-Jun'26 data),Factoring cost of fund/day,investor's cost of fund/day,factoring cost (Total weighted average),Investor's cost of fund (Total Weighted Average),Total Weighted average Finance cost %,Per day finance cost %,Monthly Finance cost %,Unnamed: 24,Buyer.1,Cash inflow/outflow,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,April Total,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,May Total,1.2,2.2,3.2,4.2,5.2,6.2,7.2,8.2,9.2,10.2,11.2,12.2,13.2,14.2,15.2,16.1,17.1,18.1,19.1,20.1,21.1,22.1,June Total
CP Bangladesh Chuadanga,,,1.0,19,No,,,19.0,0.0, ,100.00%,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,CP Bangladesh Chuadanga,Cash inflow,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Bhola,,,4.0,5,No,,,5.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,0.61%,0.61%,0.12%,3.65%,,Kazi Farms Ltd - Bhola,Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Dinajpur(Kobiraj Haat),,,4.0,5,No,,,5.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,0.61%,0.61%,0.12%,3.65%,,Kazi Farms Ltd - Dinajpur(Kobiraj Haat),Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Gaibandha,,,4.0,5,No,,,5.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,0.61%,0.61%,0.12%,3.65%,,Kazi Farms Ltd - Gaibandha,Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kazi Farms Ltd - Lalmonirhat, Patgram",,,4.0,5,No,,,5.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,0.61%,0.61%,0.12%,3.65%,,"Kazi Farms Ltd - Lalmonirhat, Patgram",Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Panchagar,,,4.0,5,No,,,5.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,0.61%,0.61%,0.12%,3.65%,,Kazi Farms Ltd - Panchagar,Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Rangpur,,,4.0,5,No,,,5.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,0.61%,0.61%,0.12%,3.65%,,Kazi Farms Ltd - Rangpur,Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Thakurgaon,,,4.0,5,No,,,5.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,0.61%,0.61%,0.12%,3.65%,,Kazi Farms Ltd - Thakurgaon,Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Thakurgaon (Fatabari),,,4.0,5,No,,,5.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,0.61%,0.61%,0.12%,3.65%,,Kazi Farms Ltd - Thakurgaon (Fatabari),Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Thakurgaon WH,,,4.0,5,No,,,5.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,0.61%,0.61%,0.12%,3.65%,,Kazi Farms Ltd - Thakurgaon WH,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGI - Tanvir Food Ltd - Bogra,,,1.0,14,No,,,14.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,1.70%,1.70%,0.12%,3.65%,,MGI - Tanvir Food Ltd - Bogra,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope Feed Mill - Bogura,,,1.0,29,No,,,29.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,3.53%,3.53%,0.12%,3.65%,,New Hope Feed Mill - Bogura,Cash inflow,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope Feed Mill - Dinajpur,,,1.0,29,Yes,IDLC,3.0,26.0,0.0,90.00%,10.00%,,0.0,0.0,15.92%,3.65%,0.04%,0.12%,1.02%,0.68%,1.70%,0.07%,1.96%,,New Hope Feed Mill - Dinajpur,Cash inflow,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope Feed Mill - Gazipur,,,1.0,29,Yes,IDLC,3.0,26.0,0.0,90.00%,10.00%,,0.0,0.0,15.92%,3.65%,0.04%,0.12%,1.02%,0.68%,1.70%,0.07%,1.96%,,New Hope Feed Mill - Gazipur,Cash inflow,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope Feed Mill - Jadur Mor,,,1.0,29,Yes,IDLC,,29.0,0.0,90.00%,10.00%,,,,,3.65%,,0.12%,0.00%,0.35%,0.35%,0.01%,0.37%,,New Hope Feed Mill - Jadur Mor,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish - Bhaluka,,,2.0,10,No,,,10.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,1.22%,1.22%,0.12%,3.65%,,Nourish - Bhaluka,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish - Bogra,,,2.0,10,No,,,10.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,1.22%,1.22%,0.12%,3.65%,,Nourish - Bogra,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Chittagong,,,2.0,10,No,,,10.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,1.22%,1.22%,0.12%,3.65%,,Nourish Chittagong,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Jessore,,,2.0,10,No,,,10.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,1.22%,1.22%,0.12%,3.65%,,Nourish Jessore,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Jessore (Kapotakkha Unit),,,2.0,10,No,,,10.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,1.22%,1.22%,0.12%,3.65%,,Nourish Jessore (Kapotakkha Unit),Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Lalmonirhat,,,2.0,10,No,,,10.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,1.22%,1.22%,0.12%,3.65%,,Nourish Lalmonirhat,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Rangpur,,,2.0,10,No,,,10.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,1.22%,1.22%,0.12%,3.65%,,Nourish Rangpur,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Sreepur,,,2.0,10,No,,,10.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,1.22%,1.22%,0.12%,3.65%,,Nourish Sreepur,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Thakurgaon WH,,,2.0,10,No,,,10.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,1.22%,1.22%,0.12%,3.65%,,Nourish Thakurgaon WH,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paragon Feed Mill - Rangpur,,,3.0,7,No,,,7.0,, ,100.00%,,,,,3.65%,,0.12%,,0.85%,0.85%,0.12%,3.65%,,Paragon Feed Mill - Rangpur,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Feed Mill - Nandigram,,,1.0,14,Yes,EBL,3.0,11.0,0.0,85.00%,15.00%,,0.0,0.0,13.00%,3.65%,0.04%,0.12%,0.33%,0.57%,0.90%,0.08%,2.45%,,Quality Feed Mill - Nandigram,Cash inflow,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Feed Mill - Sherpur,,,1.0,14,Yes,EBL,3.0,11.0,0.0,85.00%,15.00%,,0.0,0.0,13.00%,3.65%,0.04%,0.12%,0.33%,0.57%,0.90%,0.08%,2.45%,,Quality Feed Mill - Sherpur,Cash inflow,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square Food & Beverage Ltd,,,1.0,25,No,,,25.0,0.0, ,100.00%,,,,,3.65%,,0.12%,,3.04%,3.04%,0.12%,3.65%,,Square Food & Beverage Ltd,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK Group,,,2.0,12,Yes,EBL,3.0,9.0,0.0,85.00%,15.00%,,0.0,0.0,13.00%,3.65%,0.04%,0.12%,0.27%,0.53%,0.80%,0.09%,2.67%,,TK Group,Cash inflow,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombey sweets,,,1.0,14,No,,,14.0,,,100%,,,,,3.65%,0.00%,0.12%,0.00%,1.70%,1.70%,0.12%,3.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh Edible Oil Ltd,,,2.0,13,No,,,13.0,,,100%,,,,,3.65%,0.00%,0.12%,0.00%,1.58%,1.58%,0.12%,3.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
