Month,Working Capital,Factoring,Net working capital,Revenue,Capital turnover ratio
2026-01-26,136339407,39926496,96412911,115109766,1.1939248053613898
2026-02-26,131123892,31943887,99180005,47803744,0.48198973170045717
2026-03-26,131130494,32963659,98166835,28557575,0.29090858435030525
2026-04-26,209175865,132629243,76546622,279465004,3.6509123028315997
2026-05-26,140959072,81302530,59656542,221070468,3.705720455604014
2026-06-26,176697038,59358355,117338683,193452107,1.6486643795039015
2026-07-26,182590917,49300044,133290873,94445764,0.7085688755298347
